Code,Code Description,Number of Occurences
3454,Robbery,3
16642,Drug Offense,4
9269,Fraud,14
6230,Larceny Theft,5
3082,Robbery,7
15054,Offences Against The Family And Children,1
16750,Drug Offense,2
13020,Prostitution,3
30160,Other Offenses,1
28020,Malicious Mischief,6
29110,Juvenile Offenses,9
9125,Forgery And Counterfeiting,6
9175,Forgery And Counterfeiting,4
27176,Other Miscellaneous,13
65013,Other Miscellaneous,1
9162,Fraud,1
6231,Larceny Theft,4
16020,Drug Offense,23
26140,Other Miscellaneous,2
26020,Other Miscellaneous,7
27185,Other Miscellaneous,3
30180,Other Offenses,14
16050,Drug Offense,6
3442,Robbery,8
11015,Stolen Property,6
16626,Drug Offense,13
19080,Disorderly Conduct,3
12090,Weapons Carrying Etc,4
16320,Drug Offense,1
3491,Robbery,2
10060,Embezzlement,3
26148,Other Miscellaneous,22
2010,Rape,6
9166,Fraud,10
12161,Weapons Carrying Etc,4
12169,Weapons Carrying Etc,1
2201,Rape,1
9210,Forgery And Counterfeiting,5
16640,Drug Offense,8
2103,Rape,2
64014,Non-Criminal,1
15301,Offences Against The Family And Children,1
6395,Larceny Theft,1
26038,Arson,2
10117,Fraud,7
16630,Drug Offense,4
9165,Fraud,2
10055,Embezzlement,2
2104,Rape,13
27145,Other Miscellaneous,8
26143,Other Miscellaneous,4
19053,Disorderly Conduct,3
5131,Burglary,1
13070,Prostitution,13
3091,Robbery,4
12160,Weapons Carrying Etc,1
3031,Robbery,6
27020,Other Miscellaneous,4
3462,Robbery,2
14042,Sex Offense,6
14045,Sex Offense,3
6143,Larceny Theft,4
28168,Malicious Mischief,2
2202,Rape,1
9010,Other Miscellaneous,1
10085,Embezzlement,1
30191,Other Offenses,1
16760,Drug Offense,2
3461,Robbery,3
6344,Larceny Theft,6
7042,Recovered Vehicle,3
3061,Robbery,7
9266,Fraud,3
6121,Larceny Theft,1
2020,Rape,2
26160,Other Miscellaneous,1
3062,Robbery,3
6141,Larceny Theft,1
60180,Suicide,3
28040,Malicious Mischief,3
60150,Suicide,5
3452,Robbery,2
60170,Suicide,6
15090,Offences Against The Family And Children,3
3463,Robbery,6
6341,Larceny Theft,2
6213,Larceny Theft,1
16646,Drug Offense,1
27201,Other Miscellaneous,3
12024,Weapons Offense,4
9176,Fraud,2
1004,Homicide,1
3423,Robbery,3
12070,Weapons Carrying Etc,2
5231,Burglary,1
27196,Other Miscellaneous,1
15153,Offences Against The Family And Children,3
27200,Other Miscellaneous,2
19086,Disorderly Conduct,1
15163,Offences Against The Family And Children,1
65014,Other Miscellaneous,5
10010,Embezzlement,7
1003,Homicide,3
68057,Other Offenses,1
64017,Non-Criminal,2
10050,Embezzlement,1
26211,Other Miscellaneous,1
2102,Rape,1
10020,Embezzlement,2
9161,Fraud,1
17080,Liquor Laws,14
7206,Other Miscellaneous,5
28050,Malicious Mischief,1
5261,Burglary,1
19076,Disorderly Conduct,1
26061,Other Miscellaneous,2
6375,Larceny Theft,1
30131,Other Offenses,1
16711,Drug Offense,2
4054,Assault,1
28170,Malicious Mischief,2
27155,Other Miscellaneous,1
15302,Offences Against The Family And Children,1
13110,Prostitution,2
4061,Assault,1
19015,Disorderly Conduct,1
16240,Drug Offense,1
30070,Other Offenses,1
4093,Assault,1
3434,Robbery,1
27174,Other Miscellaneous,2
15303,Offences Against The Family And Children,1
2005,Rape,1
12040,Weapons Offense,3
6131,Larceny Theft,1
1002,Homicide,6
3483,Robbery,1
6340,Larceny Theft,1
26177,Other Miscellaneous,2
3492,Robbery,2
