Code,Code Description,Number of Occurences
4750,OTHER OFFENSE,1
0584,STALKING,122
5111,OTHER OFFENSE,505
2034,NARCOTICS,140
5130,OTHER OFFENSE,24
4386,OTHER OFFENSE,142
1050,HUMAN TRAFFICKING,10
5131,OTHER OFFENSE,87
5114,NON-CRIMINAL,15
1480,CONCEALED CARRY LICENSE VIOLATION,27
5112,OTHER OFFENSE,45
5114,NON - CRIMINAL,38
1055,HUMAN TRAFFICKING,18
5121,OTHER OFFENSE,6
5113,NON-CRIMINAL,2
1479,CONCEALED CARRY LICENSE VIOLATION,29
5094,NON-CRIMINAL,3
1478,CONCEALED CARRY LICENSE VIOLATION,34
5132,OTHER OFFENSE,16
2033,NARCOTICS,16
5073,NON-CRIMINAL (SUBJECT SPECIFIED),4
0585,NON-CRIMINAL,4
1481,NON-CRIMINAL,3
0830,THEFT,1
5013,OTHER OFFENSE,1
