CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
303658214,9/12/2014,3:00:00,9/12/2014,8:30:00,9/12/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,62,FRONT OF,OTHER,,,979985,160814,40.60808081,-74.01536178,"(40.608080807, -74.015361783)"
782455272,9/12/2014,2:00:00,9/12/2014,3:38:00,9/12/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,10,INSIDE,BAR/NIGHT CLUB,,,982756,210140,40.74347046,-74.005393,"(40.743470455, -74.005393004)"
441363044,9/12/2014,1:55:00,,,9/12/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,40,FRONT OF,RESIDENCE - PUBLIC HOUSING,,,1005514,235740,40.81371025,-73.92318281,"(40.813710246, -73.923182807)"
774533430,9/12/2014,0:15:00,9/12/2014,0:45:00,9/12/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,73,FRONT OF,TAXI (YELLOW LICENSED),,,1008228,183789,40.67111083,-73.91356336,"(40.671110834, -73.913563363)"
377975421,9/11/2014,15:00:00,9/11/2014,18:00:00,9/12/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,68,INSIDE,RESIDENCE - APT. HOUSE,,,977406,169472,40.6318436,-74.0246588,"(40.631843602, -74.024658797)"
774601774,9/7/2014,20:00:00,9/7/2014,21:00:00,9/12/2014,678,,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,114,INSIDE,BAR/NIGHT CLUB,,,1008450,221480,40.77456286,-73.91262756,"(40.774562862, -73.912627558)"
537716666,9/5/2014,9:00:00,9/12/2014,11:00:00,9/12/2014,343,OTHER OFFENSES RELATED TO THEF,478,"THEFT OF SERVICES, UNCLASSIFIE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,HOTEL/MOTEL,,,991891,228415,40.79362742,-73.97240579,"(40.793627415, -73.97240579)"
450266327,9/3/2014,15:30:00,,,9/12/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,121,FRONT OF,RESIDENCE-HOUSE,,,943569,160278,40.60651724,-74.14651018,"(40.60651724, -74.146510176)"
317850827,8/31/2014,12:00:00,9/8/2014,12:00:00,9/12/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,121,INSIDE,RESIDENCE-HOUSE,,,940898,164677,40.61857891,-74.15615775,"(40.618578907, -74.15615775)"
925749741,7/25/2014,8:00:00,8/10/2014,8:30:00,9/12/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,,,1010489,251002,40.85558664,-73.90515036,"(40.855586639, -73.905150361)"
143014315,7/22/2014,14:00:00,7/28/2014,12:00:00,9/12/2014,112,THEFT-FRAUD,489,"THEFT,RELATED OFFENSES,UNCLASS",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,HOTEL/MOTEL,,,994252,221756,40.77534788,-73.9638889,"(40.775347876, -73.963888895)"
198864911,6/14/2014,12:00:00,9/10/2014,12:00:00,9/12/2014,109,GRAND LARCENY,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,108,INSIDE,FOOD SUPERMARKET,,,1013081,207687,40.73669072,-73.89596653,"(40.736690717, -73.895966529)"
353074262,6/10/2014,10:00:00,6/12/2014,15:00:00,9/12/2014,109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,61,INSIDE,RESIDENCE-HOUSE,,,995661,160440,40.60704794,-73.9589055,"(40.607047935, -73.958905504)"
