INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162009664,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B3,467,,2016-02-05 01:39:00,2016,2,Friday,1,Part One,WESTMORE RD,42.28353324,-71.09735177,"(42.28353324, -71.09735177)"
I162009643,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,512,,2016-02-04 14:30:00,2016,2,Thursday,14,Part One,FAIRMOUNT AVE,42.25169697,-71.11738135,"(42.25169697, -71.11738135)"
I162009639,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,428,,2016-02-04 23:59:00,2016,2,Thursday,23,Part One,NORFOLK ST,42.28092154,-71.08766264,"(42.28092154, -71.08766264)"
I162009632,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,478,,2016-02-04 17:30:00,2016,2,Thursday,17,Part One,WEYBOSSET ST,42.27076625,-71.10750829,"(42.27076625, -71.10750829)"
I162009603,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,332,,2016-02-04 08:45:00,2016,2,Thursday,8,Part One,GLENDALE ST,42.31326923,-71.06585779,"(42.31326923, -71.06585779)"
I162009510,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,28,,2016-02-04 11:30:00,2016,2,Thursday,11,Part One,EMMONS ST,42.37108666,-71.03827877,"(42.37108666, -71.03827877)"
I162009474,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,D14,806,,2016-02-04 01:43:00,2016,2,Thursday,1,Part One,WESTERN AVE,42.36223947,-71.14174147,"(42.36223947, -71.14174147)"
I162009351,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,754,,2016-02-03 08:00:00,2016,2,Wednesday,8,Part One,BRECK AVE,42.35027476,-71.16773355,"(42.35027476, -71.16773355)"
I162009319,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,260,,2016-02-03 21:06:00,2016,2,Wednesday,21,Part One,FOLSOM ST,42.31797163,-71.07234547,"(42.31797163, -71.07234547)"
I162009283,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,336,,2016-02-03 17:44:00,2016,2,Wednesday,17,Part One,CLARKSON ST,42.30700176,-71.06933556,"(42.30700176, -71.06933556)"
I162009070,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,586,,2016-02-02 23:09:00,2016,2,Tuesday,23,Part One,CHEROKEE ST,42.33047722,-71.10072736,"(42.33047722, -71.10072736)"
I162008913,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,539,,2016-02-02 12:51:00,2016,2,Tuesday,12,Part One,RIVER ST,42.24806163,-71.13269023,"(42.24806163, -71.13269023)"
I162008792,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A1,115,,2016-02-02 05:40:00,2016,2,Tuesday,5,Part One,KNEELAND ST,42.34974111,-71.05801618,"(42.34974111, -71.05801618)"
I162008789,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A1,111,,2016-02-02 04:01:00,2016,2,Tuesday,4,Part One,WASHINGTON ST,42.35272948,-71.06256291,"(42.35272948, -71.06256291)"
I162008714,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,758,,2016-01-30 19:30:00,2016,1,Saturday,19,Part One,BRACKETT ST,42.35110337,-71.16524536,"(42.35110337, -71.16524536)"
I162008687,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,393,,2016-01-30 22:00:00,2016,1,Saturday,22,Part One,ASHMONT ST,42.28600087,-71.06344648,"(42.28600087, -71.06344648)"
I162008665,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,170,,2016-02-01 11:30:00,2016,2,Monday,11,Part One,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.33562126, -71.07582361)"
I162008589,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C11,357,,2016-02-01 12:53:00,2016,2,Monday,12,Part One,WASHINGTON ST,42.29901707,-71.07337539,"(42.29901707, -71.07337539)"
I162008548,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,35,,2016-02-01 10:52:00,2016,2,Monday,10,Part One,HAYNES ST,42.36666678,-71.03792960,"(42.36666678, -71.03792960)"
I162008352,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,394,,2016-01-17 17:13:00,2016,1,Sunday,17,Part One,ROWENA ST,42.28477931,-71.06223825,"(42.28477931, -71.06223825)"
I162008300,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,760,,2016-01-30 20:00:00,2016,1,Saturday,20,Part One,OAK SQUARE AVE,42.35094353,-71.16377184,"(42.35094353, -71.16377184)"
I162008200,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,758,,2016-01-30 22:00:00,2016,1,Saturday,22,Part One,BRACKETT ST,42.35110337,-71.16524536,"(42.35110337, -71.16524536)"
I162008186,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,607,,2016-01-30 00:00:00,2016,1,Saturday,0,Part One,NIRA AVE,42.32519544,-71.10856232,"(42.32519544, -71.10856232)"
