INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182040174,00724,Auto Theft,AUTO THEFT,B2,184,,2018-05-25 06:00:00,2018,5,Friday,6,Part One,HUMPHREYS ST,42.31949081,-71.06627425,"(42.31949081, -71.06627425)"
I182040165,00724,Auto Theft,AUTO THEFT,E5,728,,2018-05-15 19:11:00,2018,5,Tuesday,19,Part One,VFW PKWY,42.28059505,-71.17091524,"(42.28059505, -71.17091524)"
I182040034,00727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,C6,178,,2018-05-23 10:45:00,2018,5,Wednesday,10,Part One,MASSACHUSETTS AVE,42.32856401,-71.06835343,"(42.32856401, -71.06835343)"
I182040033,00727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,C6,178,,2018-05-12 08:00:00,2018,5,Saturday,8,Part One,MASSACHUSETTS AVE,42.32856401,-71.06835343,"(42.32856401, -71.06835343)"
I182040029,00727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,C6,178,,2018-05-17 19:45:00,2018,5,Thursday,19,Part One,MASSACHUSETTS AVE,42.32856401,-71.06835343,"(42.32856401, -71.06835343)"
I182040025,00724,Auto Theft,AUTO THEFT,C6,178,,2018-05-19 07:00:00,2018,5,Saturday,7,Part One,MASSACHUSETTS AVE,42.32856401,-71.06835343,"(42.32856401, -71.06835343)"
I182040025,00727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,C6,178,,2018-05-19 07:00:00,2018,5,Saturday,7,Part One,MASSACHUSETTS AVE,42.32856401,-71.06835343,"(42.32856401, -71.06835343)"
I182040024,00727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,C6,178,,2018-04-25 21:15:00,2018,4,Wednesday,21,Part One,MASSACHUSETTS AVE,42.32856401,-71.06835343,"(42.32856401, -71.06835343)"
I182039927,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,E13,303,,2018-05-24 09:00:00,2018,5,Thursday,9,Part One,AMORY ST,42.32133813,-71.09924423,"(42.32133813, -71.09924423)"
I182039784,00724,Auto Theft,AUTO THEFT,B3,565,,2018-05-24 15:18:00,2018,5,Thursday,15,Part One,HARVARD ST,42.29260629,-71.08989828,"(42.29260629, -71.08989828)"
I182039707,00724,Auto Theft,AUTO THEFT,E18,519,,2018-05-24 11:11:00,2018,5,Thursday,11,Part One,FAIRMOUNT AVE,42.25395990,-71.11962283,"(42.25395990, -71.11962283)"
I182039689,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C6,191,,2018-05-24 08:32:00,2018,5,Thursday,8,Other,ELLERY ST,42.32871010,-71.05825095,"(42.32871010, -71.05825095)"
I182039687,00724,Auto Theft,AUTO THEFT,E18,520,,2018-05-24 05:30:00,2018,5,Thursday,5,Part One,HYDE PARK AVE,42.25767476,-71.12367146,"(42.25767476, -71.12367146)"
I182039675,00724,Auto Theft,AUTO THEFT,B2,337,,2018-05-23 20:30:00,2018,5,Wednesday,20,Part One,COLUMBIA RD,42.30642825,-71.07766809,"(42.30642825, -71.07766809)"
I182039640,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B2,180,,2018-05-24 02:37:00,2018,5,Thursday,2,Other,DUDLEY ST,42.32613742,-71.07531938,"(42.32613742, -71.07531938)"
I182039619,00724,Auto Theft,AUTO THEFT,C11,370,,2018-05-23 23:08:00,2018,5,Wednesday,23,Part One,WILLIAM T MORRISSEY BLVD,42.29681643,-71.04853785,"(42.29681643, -71.04853785)"
I182039615,00724,Auto Theft,AUTO THEFT,D14,794,,2018-05-23 22:15:00,2018,5,Wednesday,22,Part One,GLENVILLE AVE,42.34904181,-71.13573308,"(42.34904181, -71.13573308)"
I182039581,00724,Auto Theft,AUTO THEFT,D4,903,,2018-05-13 12:00:00,2018,5,Sunday,12,Part One,HAMMOND ST,42.33503481,-71.08240248,"(42.33503481, -71.08240248)"
I182039492,00727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,A7,12,,2018-05-23 15:33:00,2018,5,Wednesday,15,Part One,BOARDMAN ST,42.39001126,-71.01170314,"(42.39001126, -71.01170314)"
I182039380,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,E13,569,,2018-05-22 23:00:00,2018,5,Tuesday,23,Part One,BROOKLEY RD,42.30293344,-71.10590637,"(42.30293344, -71.10590637)"
