INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172102422,03301,Verbal Disputes,VERBAL DISPUTE,C11,391,,2017-12-10 18:12:00,2017,12,Sunday,18,Part Three,WESTMORELAND ST,42.28448499,-71.05826201,"(42.28448499, -71.05826201)"
I172102406,03301,Verbal Disputes,VERBAL DISPUTE,B2,319,,2017-12-10 17:05:00,2017,12,Sunday,17,Part Three,SEAVER ST,42.30715951,-71.08823566,"(42.30715951, -71.08823566)"
I172102405,03301,Verbal Disputes,VERBAL DISPUTE,C11,358,,2017-12-10 17:13:00,2017,12,Sunday,17,Part Three,PARK ST,42.29786606,-71.06332517,"(42.29786606, -71.06332517)"
I172102379,03301,Verbal Disputes,VERBAL DISPUTE,C11,346,,2017-12-10 14:48:00,2017,12,Sunday,14,Part Three,PERCIVAL ST,42.30537860,-71.06323044,"(42.30537860, -71.06323044)"
I172102372,03301,Verbal Disputes,VERBAL DISPUTE,E18,533,,2017-12-10 13:56:00,2017,12,Sunday,13,Part Three,READVILLE ST,42.24525124,-71.13465321,"(42.24525124, -71.13465321)"
I172102371,03301,Verbal Disputes,VERBAL DISPUTE,C11,395,,2017-12-10 13:33:00,2017,12,Sunday,13,Part Three,GALLIVAN BLVD,42.28013508,-71.06512533,"(42.28013508, -71.06512533)"
I172102349,03301,Verbal Disputes,VERBAL DISPUTE,B3,428,,2017-12-10 12:47:00,2017,12,Sunday,12,Part Three,NORFOLK ST,42.28033540,-71.08823995,"(42.28033540, -71.08823995)"
I172102343,03301,Verbal Disputes,VERBAL DISPUTE,C11,347,,2017-12-10 12:29:00,2017,12,Sunday,12,Part Three,EAST ST,42.30758168,-71.05883879,"(42.30758168, -71.05883879)"
I172102335,03301,Verbal Disputes,VERBAL DISPUTE,C11,396,,2017-12-10 12:24:00,2017,12,Sunday,12,Part Three,SANTUIT ST,42.29042439,-71.06380740,"(42.29042439, -71.06380740)"
I172102332,03301,Verbal Disputes,VERBAL DISPUTE,B2,331,,2017-12-10 11:52:00,2017,12,Sunday,11,Part Three,COLUMBIA RD,42.31163120,-71.06974316,"(42.31163120, -71.06974316)"
I172102296,03301,Verbal Disputes,VERBAL DISPUTE,B2,901,,2017-12-10 07:57:00,2017,12,Sunday,7,Part Three,PARKER ST,42.33226842,-71.09674843,"(42.33226842, -71.09674843)"
I172102285,03301,Verbal Disputes,VERBAL DISPUTE,C11,391,,2017-12-09 08:00:00,2017,12,Saturday,8,Part Three,MINOT ST,42.28343547,-71.05988144,"(42.28343547, -71.05988144)"
